,陳情內容,回覆單位,問題類別,張貼日期,修改日期,人氣指數,答覆內容
507,如何請領地政士開業執照？(地權-不動產經紀業、地政士業務-6),高雄市政府地政局,地政,20110107,20111229,1144,已領有內政部核發地政士（土地登記專業代理人）證書者，如欲辦理開業，應檢附下列文件，向事務所所在地直轄市或縣（市）主管機關申請登記及發給開業執照：（一）申請書。（二）地政士或土地登記專業代理人證書及其影本。（三）身分證明文件影本。（四）本人最近1年內2吋半身照片2張。
508,申請續訂三七五耕地租約還有沒有其他應注意事項？(地權-耕地租佃業務-13),高雄市政府地政局,地政,20110107,20111229,1142,1.如出租人、承租人於申請期間內，均未提出申請時，區公所將依「耕地三七五租約清理要點」第7點第2項規定，逕為辦理租約註銷登記。2.申請案件將依規定程序完成核定並由區公所將核定結果通知出、承租人。
509,土地被徵收後，農民是否可繼續參加農保？,高雄市政府農業局,農業,20110128,20111229,1142,(1)已以自耕農及自耕農配偶資格加保者，因農地被徵收，自徵收公告期滿第十六日起算，可繼續加保三年。(2)行政院核定為重大公共建設之區段徵收，經核定領回抵價地者，可續保至抵價地辦竣所有權登記後止。(3)徵收前與需地機關協議價購尚未徵收者，自完成土地產權移轉登記日起，可繼續加保三年。單位:農民組織科 07-7995678轉6194
510,已參加勞工保險等社會保險之農民，可否再參加農民健康保險？,高雄市政府農業局,農業,20110128,20111229,1140,農民已參加勞工保險等社會保險者，不得再重複參加農民健康保險。單位:農民組織科 07-7995678轉6194
511,如何領養公立收容所犬貓隻?,高雄市政府農業局,農業,20110128,20161130,1140,(1)領養地點：高雄市動物保護教育園區、燕巢動物保護關愛園區。(2)服務時間：高雄市動物保護教育園區：周二至周日上午09:30- 12:00；下午13:30- 17:00(週一及國定假日休園)電話:07-5519059燕巢動物保護關愛園區：周二至周六上午09:30-12:00;下午13:30-17:00(周一及國定假日休園)電話:07-6051002(3)領養方式：年滿20歲民眾，可於服務時間內攜帶身分證至領養地點，與犬貓互動選擇欲領養的動物，經值班獸醫評估通過後辦理領養手續。獸醫師將為動物施打狂犬病疫苗並植入晶片辦理寵物登記。
512,有關地方型SBIR計畫中，計畫合作對象是否限於高雄地區的學校或法人單位？,高雄市政府經濟發展局,經發,20110113,20151203,1140,企業合作對象不限於高雄地區學校或法人單位，惟注意企業必須設籍於高雄市方能申請本案。詳細資訊請洽詢承辦單位本府經濟發展局產業服務科施小姐，洽詢電話:07-3368333*3160
513,應受補償費之所有權人，因受領遲延、拒絕受領或不能受領補償費者，而遭提存法院或存入保管專戶，可有時間限制？(土地徵收業務-9),高雄市政府地政局,地政,20110107,20111229,1140,在土地徵收條例（89年2月2日總統公布）頒布前，應受補償費之所有權人，因拒絕受領或不能受領補償費、所在地不明，而遭提存法院者，依民法第330條規定，債權人對於提存物之權利，自提存後10年間不行使而消滅，其提存物屬於國庫。土地徵收條例公布後，依第26條規定，存入保管專戶者，自通知送達發生效力之日起，逾15年未領取之補償費，歸屬國庫。
514,兒童美術館中庭、多目的室可以租借嗎？,高雄市政府文化局,文化,20140109,20140109,1138,兒童美術館空間有限，活動也多，目前暫不提供場地租借服務。洽詢專線：07-5550331轉306（洪小姐）
515,公車路線及到站時間查詢。,高雄市政府交通局,交通,20110126,20161221,1137,一、智慧型手機「高雄iBus」App軟體（http://ibus.tbkc.gov.tw/bus/App.html）、站牌路線QR Code預估到站資訊圖案與公車動態語音查詢系統（7497100、0928-462188）。二、高雄市公車動態資訊網站    http://ibus.tbkc.gov.tw/bus/三、電話查詢  （一）南台灣客運  3109835、3101111  （二）東南客運    0800616898、7536569  （三）高雄客運    7462141、7426644  （四）義大客運    0800352520、6577258  （五）港都客運    3661986  （六）漢程客運    0800889116、342429   (七）統聯客運    0800676676、7229455
516,訴願書要怎麼寫？要怎麼主張行政救濟？,高雄市政府法制局,法制,20110421,20161212,1136,一、訴願書的內容，請依照訴願法第56條第1項的規定來寫。而且，要依同條第2項的規定，同時附上原行政處分書的影印本。有關「訴願之事實及理由」及「證據」這兩款，是決定訴願是否有理由的實質關鍵。二、建議您，首先，要釐清事實（何人？何時？何地？何物？何事？）；其次，原則上按時間先後順序，逐一搭配證據（書證、物證、人證、或聲請勘驗結果），將事實經過記載明確；再者，逐一寫清楚何以不服原行政處分之理由（含事實上、證據上、法律上之爭執點），併請參考法制局網站之訴願書範例(網址：http://law.kcg.gov.tw/)三、在訴願程序中要主張「行政救濟」，就務必要先知道「事實」是什麼？支持事實的「證據」是什麼？然後才能據以正確「認事用法」，並依法救濟。
517,農保被保險人投保年資，如何計算？,高雄市政府農業局,農業,20110128,20111229,1136,農保被保險人退保後再參加農保時，其原有農保年資應予併計。單位:農民組織科 07-7995678轉6194
518,已參加農保之被保險人嗣後農地被編為非農業用地，是否仍符合農保資格？,高雄市政府農業局,農業,20110128,20111229,1136,依據「從事農業工作農民申請參加農民健康保險認定標準及資格審查辦法」第十條規定，以自有農地者身分加保或以自有農地配偶身分加保之被保險人，其持以加保之農地經法律變更為非農業用地，在依法應完成之細部計畫尚未完成或指定開發方式尚未開發完成，無法依變更後之用地使用，經取得都市計畫主管機關核發仍依原來農業用地使用分區別或用地別管制使用之證明文件，並符合該辦法有關農地以外之相關規定者，得繼續加保。單位:農民組織科 07-7995678轉6194
519,美術館有提供「電動輪椅」充電服務嗎?,高雄市政府文化局,文化,20140109,20140109,1136,有。歡迎您告訴服務台人員，即馬上為您做輪椅充電服務。洽詢專線：07-5550331轉轉235（服務台）
520,美術館演講廳如何租借，費用如何計算？,高雄市政府文化局,文化,20140109,20151123,1136,1.請於使用前10個工作天填妥申請書向本館申請。2.收費標準：平日每場收費4千元，假日每場收費5千元，每場並收取保證金1萬元，活動結束後若無損壞場地等事宜，無息退還保證金。洽詢專線：07-5550331轉288（李小姐）
521,美術館是否有提供導覽？,高雄市政府文化局,文化,20140109,20151123,1136,1.本館定時導覽時間為週二~週日上、下午各一場，免費自由參加，可至服務台借用導覽接收器。2.預約導覽請於週二至週五上班時間兩週前預約場次。3.場次及導覽主題請見高美館資訊。洽詢專線：07-5550331轉241 葉小姐
522,美術館是否有提供嬰兒車、哺乳室等服務？,高雄市政府文化局,文化,20140109,20140109,1136,本館服務台備有嬰兒車及哺乳室等服務，借用嬰兒車只需憑身分證件並留下聯絡電話，即可借用。洽詢電話：07-5550331轉235（服務台）
523,明誠四路旁草地所屬權責？,高雄市政府文化局,文化,20110113,20110113,1136,屬中央用地現屬養護大隊代管，電話：(07)585-3832。
524,如何申請漁船輪機長得兼漁航員報備？,高雄市政府海洋局,海洋,20110111,20141105,1136,申請人應備證件1.漁船輪機長得兼漁航員報備申請書1份。2.輪機幹部船員執業證書正、影本各1份。（正本驗後發還）3.漁航幹部船員專業訓練結業證書正、影本各1份。（正本驗後發還）4.漁船漁業執照影本1份。5.漁船船員手冊正、影本。（正本驗後發還）漁船船員手冊已攜出港者，檢附船員出港（或搭機）證明影本及國外基地漁船作業證明書或其他相關證明文件1份。6.非申請人本人申請，須附委託書1份。處理期限4天承辦單位漁業行政科受理方式櫃台直接受理統一收發管制申請方式1.親自到場辦理2.委託辦理3.郵寄備註欄依據漁船船員管理規則第22條附表5備註規定：以國內基地作業（有限水域）之漁船，符合下列各款之一者，得以一名船長搭配一名本國籍船員，或依就業服務法引進之外國籍船員擔任輪機助手，不適用本附表漁航及輪機人員幹部配置員額之規定：1.船長同時持有相同漁船種類之漁航及輪機幹部船員執業證書。2.船長持有漁航幹部船員執業證書，並具備代理相同漁船種類之輪機幹部資格及持有自報備之日起符合換發輪機幹部船員執業證書有效期間核發之輪機專業訓練結業證書。3.輪機長持有輪機幹部船員執業證書，並具備代理相同漁船種類之漁航幹部資格及持有自報備之日起符合換發漁航幹部船員執業證書有效期間核發之漁航專業訓練結業證書。
525,美術資源教室如何預約？,高雄市政府文化局,文化,20140109,20151123,1135,美術資源教室特別規劃有「版畫」及「雕塑」體驗課程，每週二至週五上午9：30-12：00、下午13：30-16：30開放團體預約，預約電話07-5550331轉262。洽詢專線：07-5550331轉262（資源教室）
526,兒童美術館什麼時候說故事？,高雄市政府文化局,文化,20140109,20140109,1135,星期三胖叔叔說故事：上午10：00-10：30；上午11：00-11：30 ；星期日說故事時間：上午10：30-11：10 洽詢專線：07-5550331轉300（服務台）
527,學校單位是否可以提案申請高雄市地方型SBIR計畫？,高雄市政府經濟發展局,經發,20110113,20151203,1135,高雄市地方型SBIR計畫的申請對象為中小企業，學校單位無法申請此計畫，但可協助業界提案及擔任委託研究角色。學校單位可申請學界科專或小產學等其他適合學界申請之計畫。詳細資訊請洽詢承辦單位本府經濟發展局產業服務科施小姐，洽詢電話:07-3368333*3160
528,有關地方型SBIR計畫中，財務查核委託會計師，其簽證費用是否由市府支付？,高雄市政府經濟發展局,經發,20110113,20151203,1134,會計師簽證費用應由廠商自行負擔費用，且該費用不得納入計畫總經費中。詳細資訊請洽詢承辦單位本府經濟發展局產業服務科施小姐，洽詢電話:07-3368333*3160
529,兒童美術館有什麼活動？,高雄市政府文化局,文化,20140109,20140109,1134,每月固定有1場免費的「兒藝工作坊」活動，適合小一至小六的學童參加。其餘大型活動則於年節、兒童節和暑假時進行，均會提前發布於網站或館訊公告周知。洽詢電話：07-5550331轉300（服務台）
530,請問警察刑事紀錄證明書（良民證）需幾天核發？,高雄市政府警察局,警政,20110127,20110127,1134,2個工作天（不含申請當日和星期例假日）；但因案須向法院調閱資料者，不在此限。
531,請問警察刑事紀錄證明書（良民證）可以郵寄申請嗎？,高雄市政府警察局,警政,20110127,20161206,1134,可以，請以掛號信內檢具應備文件、申請書、匯票及回郵掛號信封郵寄至警察局外事科（郵政匯票戶名：高雄市政府警察局；如居住海外可付美金7元現金《港澳地區為美金6元》－內含工本費及回郵掛號郵資）。
532,高雄市有哪幾所社區大學？,高雄市政府教育局,教育,20111227,20170109,1134,高雄市計有5所社區大學，其校本部及聯絡電話分述如下：名稱     校本部（聯絡電話）第一社區大學 河濱國小（2518200）港都社區大學 三民區博愛路一段289號（3235656）旗美社區大學 旗美高中（6629625）岡山社區大學 岡山國小（6224415）鳳山社區大學 鳳山區中正國小（7025329）
533,如何申請計程車駕駛人執業登記證？須準備那些證件？,高雄市政府警察局,警政,20110127,20110127,1133,一、	汽車駕駛人以從事計程車駕駛為業者，應於執業前向執業地直轄市、縣（市）警察局申請辦理執業登記，領有計程車駕駛人執業登記證（以下簡稱執業登記證）及其副證，始得執業。二、	汽車駕駛人申請辦理執業登記，應檢具下列書件：(一)	申請書2份。(二)	國民身分證、職業駕駛執照及相關證明文件。(三)	最近3個月內所攝脫帽、未戴有色眼鏡正面半身2吋相片2張。
534,需繳納水土保持保證金及其計算方式,高雄市政府水利局,水利,20110129,20140106,1133,依據「水土保持保證金繳納及保管及運用辦法」第二條，水土保持保證金 (以下簡稱保證金) 依主管機關核定之水土保持計畫總工程造價之一定比例額度計算；其應繳納之比例額度如下：一、探礦、採礦及其鑿井或設置有關附屬設施：為百分之三十。二、於山坡地或森林區內取土石：為百分之三十。三、於山坡地或森林區內修建鐵路、公路、溝渠或農路以外之其他道路：為百分之二十。四、於山坡地或森林區內開發建築用地：為百分之三十。五、於山坡地或森林區內開發高爾夫球場、堆積土石或處理廢棄物：為百分之四十。六、於山坡地或森林區內設置公園、墳墓、遊憩用地、運動場地或軍事訓練場或其他開挖整地：為百分之二十。七、其他經主管機關核定之水土保持計畫：為百分之二十。前項水土保持計畫經主管機關核定分期施工者，其保證金，依核定之各期水土保持計畫工程造價之一定比例額度計算。前二項應繳保證金之數額，計算至新臺幣萬元為止，未滿萬元部分不計。另繳納方式依同辦法第四條規定，保證金得以現金、或等值之無記名政府公債、定期存款單、銀行開立之本行支票繳納或取具在中華民國境內營業之金融機構之書面保證。但書面保證應以該金融機構營業執照登記有保證業務者為限。水土保持義務人提供金融機構之書面保證或辦理質權設定之定期存款單，應加註拋棄行使抵銷權及先訴抗辯權。
535,美術館展覽專輯哪裡有賣？,高雄市政府文化局,文化,20140109,20140109,1132,本館展覽專輯可以在國家書店、五南文化廣場及本館文物展售部購買。洽詢專線：07-5550331轉254（展售部）
536,請問我們家前面水溝內附掛纜線脫落會影響排水可否派員處理。,高雄市政府水利局,水利,20110129,20110129,1131,請說明詳細位置，本局將派員會同纜線公司人員前往勘查處理。
537,有關地方型SBIR計畫中，曾經申請中央政府補助計畫，且目前正執行計畫中，是否也可申請？,高雄市政府經濟發展局,經發,20110113,20151203,1131,目前並無規定曾經申請中央政府補助計畫就無法同時申請地方型SBIR計畫，但不能為相同之研發內容，且應評估各計畫執行期間公司研發人力是否足夠。詳細資訊請洽詢承辦單位本府經濟發展局產業服務科施小姐，洽詢電話:07-3368333*3160
538,何謂「非學校型態實驗教育」?如何申請？,高雄市政府教育局,教育,20111227,20160114,1131,一、所謂「非學校型態實驗教育」，係指學校型態的教育體制外，基於家長的教育選擇權，非以營利為目的，依國民教育法第一條及第七條規定之精神，以實驗課程為主要內容，不在固定校區或以其他方式所實施之教育，並依參與實驗教育人數分為個人實驗教育、團體驗教育及機構實驗教育。二、申請方式概述如下：辦理實驗教育者應依實驗教育之目的，擬訂計畫書，於申請辦理之前一學期四月三十日或十月三十一日前提出實驗計畫書，經學生學籍所在學校提出申請，再由學籍學校送教育局指定學校辦理審查，審查通過後始得辦理非學校型態實驗教育。三、前項申請計畫相關資料請逕至高雄市政府教育局網/文件表單下載/國小教育科/教務/非學校型態實驗教育下載參考。http://www.kh.edu.tw/forms/getDirectory/812
539,高雄市文化中心展覽館開館時間？,高雄市政府文化局,文化,20110113,20121212,1130,每週一休館開放時間：週二至週四、週日10：30-17：30；週五、週六10：30-20：00各館展覽、生活美學講座可登錄公務員終身學習時數
540,請問本市有那幾種都市計畫圖可提供申購？,高雄市政府都市發展局,都發,20110113,20151203,1130,有關本市目前可提供申購之都市計畫圖資種類如下：1.電子檔：都市計畫區地形圖(CAD圖檔)2.紙類：樁位圖、都市計畫區地形圖、都市計畫圖
541,高雄市國小學生學籍管理辦法?,高雄市政府教育局,教育,20111227,20170109,1129,一、本局為管理國民小學學生學籍特訂定「高雄市國民小學學生學籍管理要點」，其要點包括新生入學、編班、轉學、中途輟學、休學與復學、成績證明、畢業證書與修業證明書、畢（修）業證明書之補發與更正、雙重學籍之禁止及學籍資料管理等相關規定。如其中規定新生入學係採學區制，就是依照戶籍地點及本局學區劃分，入鄰近學校就讀。如欲知詳情請逕至高雄市政府教育局網/法令規章下載/國小教育科/高雄市國民小學學生學籍管理要點下載參考二、另為保障高關懷學生（係指矯正教育、感化教育、保護個案、非行少年、高危機少年及其他，如中輟個案、沉迷網咖、家庭功能失衡、學校生活適應困難等學生，並經評估需轉換學習環境者）就學權益，特訂定「高雄市立國民中小學高關懷學生轉學安置處理實施原則」，建立高關懷學生轉學安置機制，並結合各國民中小學資源，提供有效輔導協助，以增進學習效果，如欲知詳情請逕至高雄市政府教育局網/法令規章下載/國中教育科下載參考。
542,有關學校行事曆、休業式及成績考查次數相關規定？,高雄市政府教育局,教育,20111227,20130329,1127,依據教育部「國民中小學九年一貫課程綱要」規定「全年授課日數以200天(不含國定假日及例假日)、每學期上課20週、每週授課5天為原則」，爰學校須依教育部規定計算每學期上課總節數，並配合本局制訂之行事曆撰寫課程計畫，該計畫除編排該學期之課程教學計畫外，亦應納入各校之重要行事及活動，經學校課程發展委員會初審、複審通過後，於開學前公告於校網首頁，並依規定時程送本府教育局備查，學校則須依備查之課程計畫據以實施教學，如需更改，則須報教育局核備。因此，有關學校休業式當天之作息，須依備查之課程計畫及本市國民中小學學生在校時間規定辦理；若休業式當天學生為全天課程，則放學時間即為下午4時30分前；倘為半天課程，則須上完4節課後方能放學。另有關學期評量次數，本局依據教育部「國民小學及國民中學學生成績評量準則」擬定本市相關法規且函知各校執行，依教育部規定，定期評量中紙筆測驗之次數，每學期至多三次。
543,美術館用餐方便嗎？,高雄市政府文化局,文化,20110113,20170106,1127,美術館噴泉廣場有冰淇淋店，販賣各式冰淇淋、鬆餅及飲料；美術館周邊店家提供各式餐飲選項，可在美術館服務台詢問相關資訊。美術館周邊餐飲商家近200家，美術館特製作了美食地圖置於官網首頁/最新消息/高美館優惠餐廳供民眾下載。連結如下：http://www.kmfa.gov.tw/home02.aspx?ID=$1010&IDK=2&EXEC=L&DATA=5746&AP=$1010_HISTORY-0^$1010_PN-1洽詢專線07-5550331轉235〈服務台〉
544,如何申請岡山文化中心演藝廳場地？,高雄市政府文化局,文化,20110112,20141030,1126,申請使用演藝廳者，年度開放申請時間：每年3月份開放次年1月至6月檔期申請；每年9月份開放次年7月至12月檔期申請。相關表件請至文化局岡山文化中心網站下載，洽詢電話：07-6262620轉2605。
545,岡山文化中心是否有辦理藝文研習班活動？,高雄市政府文化局,文化,20110112,20161118,1126,"岡山文化中心每年預計辦理三期藝文、美術研習班，開設類別包括技藝、舞蹈、兒童類及美術類等班別。有關開班日期請上文化局岡山文化中心網站查詢,或洽07-6262620#2901。"
546,請問要籌組農業性合作社申請人應檢附資料為何？,高雄市政府農業局,農業,20110128,20111229,1126,一、申請階段     （一）合作社發起組織申請書     （二）年度業務計畫書暨收支預算書　　 （三）發起人?籍資料證明     （四）從事農業相關證明     （五）章程草案　  二、立案階段 （一）合作社成立登記申請書 （二）合作社創立會決議錄 （三）○○責任○○縣（市）○○合作社理事會互選主席紀錄 （四）○○責任○○縣（市）○○合作社監事會互選主席紀錄 （五）○○責任○○縣（市）○○合作社印鑑卡暨理事監事職員履歷表 （六）○○責任○○縣（市）○○合作社社員名冊總表 （七）○○責任○○縣（市）○○合作社個人社員名冊  （八）○○責任○○縣（市）○○合作社年度業務計畫書暨收支預算書     （九）○○責任○○縣（市）○○合作社章程四份 （十）○○責任○○縣（市）○○合作社股金銀行存款證明一份     三、核發階段  （一）合作社圖記尺度表、合作社所用長戳說明  （二）各級合作社圖記及長戳格式  （三）合作社圖記暨選任人員印鑑紙受理單位: 農業局農民組織科 07-7995678轉6194
547,網路拍賣酒類未加註警語觸法？陳君雖非以販賣菸酒維生，但某日心血來潮，決定將友人致贈的鼠尾草酒上網拍賣，於是利用「YAHOO！奇摩拍賣」網路平台登載銷售資訊，卻未標示警語，遭台北市政府以違反菸酒管理法罰款11萬元，陳君不服，在提行政救濟遭駁回後，提起行政訴訟，主張其並非菸酒製造業或買賣業者，不知販售之「鼠尾草酒」含有酒精成分等云云，惟日前仍遭台北高等行政法院判決敗訴。,高雄市政府法制局,法制,20110214,20110214,1126,一、按「酒之販賣，不得以自動販賣機、郵購、電子購物或其他無法辨識購買者年齡等方式為之」、「酒之廣告或促銷，應明顯標示『飲酒過量，有害健康』或其他之警語（下略）」，菸酒管理法第31條第1項、第37條定有明文，是「酒之販賣」並無排除其他不具組織性質之業者為之，亦不以其反覆販賣菸酒為業並恃其為生者為必要，縱令其為「業餘」，惟只要「以無法辨識購買者年齡之方式」販賣酒類，即可能違反菸酒管理法第31條第1項之規定。二、再按只要涉及酒之廣告或促銷，就應明顯標示警語，不以行銷通路之不同而有異。本案陳君雖非以販酒為業，然既以「鼠尾草酒」為商品名稱，辯稱不知其含有酒精成分，顯為卸責之詞，其既以無法辨識購買者年齡之網路拍賣方式販賣酒類，且未依規定加註警語，明顯違反菸酒管理法第31條第1項、第37條規定，欲從事網路拍賣酒類者，應引以為鑑。（參考案例：臺北高等行政法院94年度訴字第339號判決）
548,民眾申報中華民國護照遺失手續為何？,高雄市政府警察局,警政,20110127,20161206,1126,一、國內遺失：（一）申報遺失須本人持身分證明文件或委任代理人持失主及代理人之身分證明文件申報。代理人以直系親屬或配偶為限，且應持相關身分證明文件及委託書向各縣市警察分局偵查隊申報。未成年人應由有權行使或負擔對於未成年子女權利義務之父或母或監護人持相關身分證明文件及戶籍謄本代為申報。但已結婚者，不在此限。（二）填寫「中華民國護照遺失申報表」一式二份，一份由失主持憑向外交部領事務局或外交部中部、南部、東部、雲嘉南辦事處申請新護照，另一份由受理之各縣市警察分局偵查隊存查，如須留存者請自行影印。二、國外（含大陸地區）遺失：（一）倘係持我駐外館處核發之入國證明書入境者，請持入國證明書及移民署核發之入國許可證副本，向外交部領事事務局或外交部中部、南部、東部、雲嘉南辦事處申請補發新護照。（二）非持入國證明書入境者，請持入國許可證副本，向外交部領事事務局或外交部中部、南部、東部、雲嘉南辦事處申請補發新護照。
549,國家賠償請求權人可不可以直接向法院提起國家賠償訴訟？,高雄市政府法制局,法制,20110421,20110421,1125,一、依國家賠償法第10條第1項規定：「依本法請求損害賠償時，應先以書面向賠償義務機關請求之。」，是以，國家賠償請求權不可以直接向法院提起訴訟，而係應先向賠償義務機關以書面提起請求，這是國家賠償法關於損害賠償請求權之行使，在程序上所設的特別規定，目的在於便利人民，並使賠償義務機關有機會先作處理，簡化賠償程序，避免訟累，而疏減訟源。二、若請求權人未先進行上述程序，逕向法院提起訴訟，那麼法院將會依民事訴訟法第249條第1項規定予以裁定駁回。
550,倘遇有海洋污染事件，第一時間應如何進行通報呢？,高雄市政府海洋局,海洋,20110112,20111103,1125,本局設有海洋污染防治專線，24小時皆有人員接聽，倘市民朋友發現海洋污染事件，請撥打0800-265000（讓油污零零零）的專線電話，我們將依據既定程序即時處理通報案件。
551,申請核發漁船船員手冊？,高雄市政府海洋局,海洋,20110111,20141105,1124,"申請人應備證件一、申請書一式2份,附最近一年內2吋半身正面脫帽照片2張。二、國民身分證或居留證正本及影本各1份（正本繳驗後發還）。三、無漁船船員管理規則第二十條第一項不予核發或換發漁船船員手冊情形之切結書1份。四、經漁會證明屬實之僱傭承諾書1份。(但符合第九條第一項規定之無僱傭關係者或服務於漁業訓練、巡護及研究等公務之漁船者，或經中央主管機關指派執行觀察員任務並出具證明文件者，免附。)五、經漁船船員管理規則第十條第一項醫療機構所出具有效之合格漁船船員體格檢查證明書1份。六、依漁船船員管理規則第十一條第一項第一款規定之基本安全訓練結業證書正本及影本各1份（正本繳驗後發還）。七、未成年人（未滿二十歲）附法定代理人同意書及印鑑證明各1份、雙方戶籍謄本各1份。處理期限7工作天承辦單位漁業行政科受理方式櫃台直接受理統一收發管制申請方式1.親自到場辦理2.委託辦理3.郵寄 備註欄一、 下載申請書二、 申請書應先經船籍所屬漁會核章三、 切結書須由本人親自切結。四、 體檢表有效期間為6個月，體檢項目應經體檢單位逐一檢查及核章並經簽註合格。"
552,至善廳索票時間和地點？,高雄市政府文化局,文化,20121212,20141204,1124,※演出前7日08：00-17：00，於至善廳1樓服務台，每人索取2張，索完為止。
553,請問高雄市都市設計審議事項有那些？,高雄市政府都市發展局,都發,20110112,20151203,1124,本市都市設計審議委員會審議事項，包括本市都市設計有關之建築物設計、開放空間設計、交通系統設計、街道家具設計、植栽及都市景觀設計、公共工程規劃設計及其他都市設計相關事項。
554,領取徵收補償地價時應備證件？(土地徵收業務-2),高雄市政府地政局,地政,20110107,20140110,1123,請參照本局網頁資訊查詢土地徵收、公地撥用項下，「領取徵收補償費應備證明文件」
555,田野引火燃燒要如何申請？申請事由有那些？高雄市有無公告禁止田野引火燃燒地區？,高雄市政府消防局,消防,20140107,20140107,1118,一、申請田野引火燃燒，應由土地所有人或管理人於實施行為五日前，繕具申請書並檢附下列文件，向當地消防分隊或高雄市政府消防局火災預防科提出申請：　(1)身分證正反面影本。　(2)土地地籍圖謄本及土地登記謄本。　(3)其他相關證明文件。申請書可至本府消防局網站下載(http://www.fdkc.gov.tw)二、田野引火燃燒，以開墾、整地、驅除病蟲害等事由為限。三、公告本市鹽埕區、鼓山區、左營區、三民區、楠梓區、前金區、新興區、苓雅區、前鎮區、小港區、旗津區、鳳山區等12個行政區轄內大樓林立、人口稠密、工商發達、工業區、港區、機場、高速公路、石化廠眾多等因素，一旦田野引火燃燒，飛火餘燼及濃煙易引發火災、爆炸災害、交通及航道安全等重大危害，乃公告禁止田野引火燃燒易致火災行為，以維護市民安全，如違反者依消防法第四十一條處新台幣三千元以下罰鍰。承辦單位：消防局火災預防科聯絡電話：07-8128111轉2113、2110
556,自耕農會員未參加農保，其農地供同戶直系血親參加農保，是否應將該會員列入平均每人０﹒一公頃計算？,高雄市政府農業局,農業,20110128,20111229,1118,農會自耕農會員之同戶直系血親以該會員所有農地，依「從事農業工作農民申請參加農民健康保險認定標準及資格審查辦法」自耕農資格條件加保時，自應將該會員列入平均每人面積０﹒一公頃以上，始可申請參加農保。單位:農民組織科 07-7995678轉6194
557,農民可否持養子之子所有土地以自耕農身分申請參加農保？,高雄市政府農業局,農業,20110128,20111229,1118,如該土地為養子在收養關係持續期間所生子女所有，收養關係現仍存續時，可視為直系血親所有，以自耕農資格申請參加農保。單位:農民組織科 07-7995678轉6194
558,請問下水道博物館(展示館)如何申請參觀？,高雄市政府水利局,水利,20110129,20111125,1118,"一、 於週一至週五上班時間及週六、週日開放申請預約參觀。(農曆春節及維護休館期間, 恕不開放該時段預約)二、 申請者請於申請參觀日前十天(不含當日)以電話、傳真、或網路預約。 (因作業關係,網路預約僅開放上午九點、十點，以及下午二點、三點；如需於其他時段參觀請以電話或傳真預約)三、 若取消行程，請事先告知本廠人員。四、 因受限於每日參觀流量及維持參觀品質，每日參觀名額限制80人。五、 申請參觀日如遇颱風本府因故停止上班，本館配合休館。倘您對本案處理結果還有任何疑問，可與本局承辦人－林裕雄，電話：5714161-31聯繫，我們同仁將會再詳細為您說明。"
559,高雄市文化中心藝術市集受理申請時間及活動時間？,高雄市政府文化局,文化,20110113,20140110,1117,※	申請時間：每年分三期（1~4月、5~8月、9~12月），每期前一個月前10日(12/1~12/10、4/1~4/10、8/1~8/10)受理下一期報名。※	活動時間：每週六、日16:00~21:30於文化中心藝術大道展演。
560,我想到駁二當志工、工讀生，該如何申請？,高雄市政府文化局,文化,20121218,20121218,1117,駁二藝術特區將依展覽屬性，不定期的招募志工或工讀生，招募資訊會在官網、駁二facebook與高雄市政府文化局網站上公告。
561,民眾於銀行提領現鈔或婚喪喜慶有大額現鈔需申請護鈔，如何處理？,高雄市政府警察局,警政,20110127,20110127,1117,請撥打110報案，並詳述姓名、地址、聯絡電話及護鈔地點後，市政府警察局立即派員前往處理。
562,公告地價：(地價業務-1),高雄市政府地政局,地政,20110107,20111229,1116,政府依平均地權條例第14條、第15條舉辦規定地價或重新規定地價時所公告之地價，稱為公告地價；作為土地所有權人申報地價之參考。
563,小朋友沒有身份證，辦理借圖書閱證時要帶什麼證件?,高雄市政府文化局,文化,20110112,20111123,1116,小朋友辦理借閱證須攜帶戶口名簿。(未滿十四歲之兒童、青少年，無國民身分證者請持戶口名簿正本，由家長或法定代理人檢具身分證明文件正本代為申請。)
564,強制汽車責任保險法第三十九條第二項所規定「特定補償基金之求償」可否移送行政執行？,高雄市政府法制局,法制,20110214,20130102,1116,強制汽車責任保險法（以下稱該法）第39條第2項規定：「特別補償基金於補償金額範圍內，得直接向加害人或汽車所有人求償。」其性質上屬特別補償基金對侵權行為人之民事代位求償，非屬公法上之金錢給付義務。此由該法第46條前段規定：「依本法所處罰鍰逾期不繳納者，移送法院強制執行。」並未包括特別補償金額即明。是財團法人汽車交通事故特別補償基金，依前開規定所為之求償，自不得移送行政執行。【參考：法務部90年3月23日〈90〉法律字第010520號書函】
565,已經完成1個碩（學）士學位，可否再攻讀另1個碩（學）士，並辦理在學緩徵？,(已註銷0101)高雄市政府兵役局,兵役,20111103,20160122,1116,依據免役禁役緩徵緩召實施辦法第15條第1項第1款：高級中學以上學校畢業生未經內政部核定，再就讀相同等級或低於原等級之學校者不得緩徵。已經完成1個碩（學）士學位 ，再攻讀另1個碩（學）士，是不能辦理在學緩徵的。承辦單位：役政科承辦人員：林翠燕電話：3373582網址：http://mildp.kcg.gov.tw/qua.php
